acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid
Consolidated Graphics,USA,TX,Houston,Houston,RR Donnelley,USA,IL,Chicago,Chicago,2013-10-24,,,,https://www.crunchbase.com/organization/consolidated-graphics,https://www.crunchbase.com/organization/rr-donnelley,473ffaff-d1d7-c052-18e5-5f759612cf71,4f9f31eb-c970-4c16-4488-ddf9ad5af9b0,60316e2e-ea18-3d6e-f899-fb926a41f62c
Fame House,USA,PA,Philadelphia,Philadelphia,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/fame-house,https://www.crunchbase.com/organization/sfx-entertainment,6e02b995-65df-c631-4ebe-c40103adc3ab,767fba43-e72f-787b-837c-03a6c8a99835,0daafeba-8b47-b157-1eb1-0e1255e3bafa
ProSep,USA,TX,Houston,Houston,PWA,USA,OH,Akron - Canton,Wooster,2013-10-24,,,,https://www.crunchbase.com/organization/prosep,https://www.crunchbase.com/organization/pwa,05b5b497-a79e-787b-f4e9-1684c7da7175,b588ae92-81b1-08bb-866c-1ab4eff8154a,3deebf65-67fc-932a-b422-548394a04a74
Timco Aviation Services,USA,NC,Greensboro,Greensboro,HAECO,HKG,,HKG - Other,Lantau,2013-10-24,,,,https://www.crunchbase.com/organization/timco-aviation-services,https://www.crunchbase.com/organization/haeco,44e8c660-a745-dfa9-5405-f91a1d6dc5da,acbf057a-de1c-e806-53c8-64dcdf4391d8,9baa4c0e-be2c-ca2c-b270-6c69d0ee8d28
Tunezy,CAN,ON,Toronto,Toronto,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/tunezy,https://www.crunchbase.com/organization/sfx-entertainment,81f51533-747a-e87c-6750-f91a22f3ec6a,767fba43-e72f-787b-837c-03a6c8a99835,0b9a392d-d4e5-7d3d-c784-1a3423e32a73
Washington Banking,USA,WA,WA - Other,Oak Harbor,Heritage Financial,USA,WA,Seattle,Tacoma,2013-10-24,,,,https://www.crunchbase.com/organization/washington-banking,https://www.crunchbase.com/organization/heritage-financial,25ca34e3-2b2a-1e8f-13da-24c890ad853c,b4e393f7-9715-52a9-2823-a09865a7362b,265a06f3-6885-a57b-9098-9f09c1119634
ZeroVM,USA,TX,San Antonio,San Antonio,Rackspace,USA,TX,San Antonio,San Antonio,2013-10-24,,,,https://www.crunchbase.com/organization/zerovm,https://www.crunchbase.com/organization/rackspace,7786aa52-1358-aa12-18c0-5e009490cd7d,545431fb-8c10-7fdd-e6be-2efd4048c558,1e15db88-4831-8270-7e46-0392d599cd9b
Aurora Networks,USA,CA,SF Bay Area,Santa Clara,Pace,DEU,,DEU - Other,England,2013-10-23,,,,https://www.crunchbase.com/organization/aurora-networks,https://www.crunchbase.com/organization/pace,06a08607-3bfd-3cc1-d63e-fce26ded25dd,b556e522-8c6a-7ae4-8b1c-73c216539446,47f80f57-cf6a-1d2b-2ed1-776feeee36fb
Cole Capital,USA,AZ,Phoenix,Phoenix,American Realty Capital,USA,NY,New York City,New York,2013-10-23,,,,https://www.crunchbase.com/organization/cole-capital,https://www.crunchbase.com/organization/american-realty-capital,a89621e9-f293-f7a8-74d9-db43f914ca0c,9b99aeba-f9aa-456e-37fd-bf22caf2941f,a8e4991c-5845-bf30-ea77-116e128445b7
Level Up Analytics,USA,CA,SF Bay Area,Mountain View,Intuit,USA,CA,SF Bay Area,Mountain View,2013-10-23,,,,https://www.crunchbase.com/organization/level-up-analytics,https://www.crunchbase.com/organization/intuit,5a68bb23-2ce4-b358-8cb0-228986ad3473,fbef6457-9149-72cf-af57-7cfbe15c05f8,619dc599-3687-fdbd-786f-b0a702a0307a
Liberty Bancshares,USA,MO,Branson,Springfield,Home BancShares,USA,AR,Little Rock,Conway,2013-10-23,,,,https://www.crunchbase.com/organization/liberty-bancshares,https://www.crunchbase.com/organization/home-bancshares,7b5461c8-a7eb-fe48-0abe-4a05edf1ab0c,940b32f7-0f8f-4522-1ba8-7acce72614bc,1c18b8c2-4ffc-dae5-f5c8-7feffc6d630d
LookFlow,USA,CA,SF Bay Area,Mountain View,Yahoo!,USA,CA,SF Bay Area,Sunnyvale,2013-10-23,,,,https://www.crunchbase.com/organization/lookflow,https://www.crunchbase.com/organization/yahoo,71130eaf-3b68-e644-4bb1-e4954fd413ad,71d51015-1800-ed61-8bc3-8dca49caec15,a942826a-0d6a-ab4d-f350-4e5fb000a94d
Plasmyd,USA,CA,San Diego,San Diego,Academia.edu,USA,CA,SF Bay Area,San Francisco,2013-10-23,,,,https://www.crunchbase.com/organization/plasmyd,https://www.crunchbase.com/organization/academia-edu,8d2a5627-8f78-e83a-a073-b2513571fd83,ec346518-e5a7-2330-daa3-259992890c01,36fc245e-d35f-97b9-044f-b641355c97c4
SoCoCare,,,,,Five9,USA,CA,SF Bay Area,San Ramon,2013-10-23,,,,https://www.crunchbase.com/organization/sococare,https://www.crunchbase.com/organization/five9,05f88457-1f67-afce-3aff-c54e0ef80402,0bb21e55-f781-de03-0978-477cfdbb9338,6f48a64e-6f33-7b83-fd7c-964b6ff68b2a
Tele2,SWE,,Stockholm,Stockholm,Telenor,NOR,,Fornebu,Fornebu,2013-10-23,,775000000,SEK,https://www.crunchbase.com/organization/tele2,https://www.crunchbase.com/organization/telenor,65c84659-5da9-9626-09fc-7b0a6c3b16b1,c2ca7bb1-b7a3-e925-66ad-d87e19201f8c,6d9c55d0-0a7b-9691-9ca6-bf4cec83e077
Aplifi,USA,UT,Salt Lake City,Salt Lake City,iPipeline,USA,PA,Philadelphia,Exton,2013-10-22,,,,https://www.crunchbase.com/organization/aplifi,https://www.crunchbase.com/organization/internet-pipeline,0a1ce6e8-bb03-ee9f-de5b-36ee6dca77d0,5c29296a-47e5-5906-9f21-474e47558245,43793b96-2762-3486-3927-a6599309def4
FlexyCore,FRA,,Rennes,Rennes,Google,USA,CA,SF Bay Area,Mountain View,2013-10-22,23000000,,,https://www.crunchbase.com/organization/flexycore,https://www.crunchbase.com/organization/google,91b973f9-e0ab-b0e2-f960-8b044e2fbd65,6acfa7da-1dbd-936e-d985-cf07a1b27711,3d7751b8-1f9b-89f1-8398-b031d605e819
Openera,CAN,ON,Ottawa,Ottawa,LiveQoS,CAN,ON,Ottawa,Ottawa,2013-10-22,,,,https://www.crunchbase.com/organization/openera,https://www.crunchbase.com/organization/ipeak-networks,a84279b7-0bc1-a637-4499-31fbf53cfadf,d9bcbf6d-b973-d151-05b2-620a6a54f52b,2dba4c28-4379-adea-aa02-939d30620eb4
Shutl,GBR,,London,London,eBay,USA,CA,SF Bay Area,San Jose,2013-10-22,,,,https://www.crunchbase.com/organization/shutl,https://www.crunchbase.com/organization/ebay,494c027a-c5c8-d6f6-7020-1d5799673fd3,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,69e77ac1-75ee-3b61-d52b-396c14644a59
TribeHR,CAN,ON,Toronto,Kitchener,NetSuite,USA,CA,SF Bay Area,San Mateo,2013-10-22,,,,https://www.crunchbase.com/organization/tribe-hr,https://www.crunchbase.com/organization/netsuite,ab3e14ba-7acb-8a53-a0c3-86d797b51e0a,9402f169-bc93-0870-03f9-8baa654aab2c,5dbfc49f-b669-f3be-457b-6592f82a70f3
