person_uuid,org_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
7af68f89-ee56-257e-817d-cf2a9c74f8e5,7dc7ad6e-16aa-3ff5-0df9-bc65aefd1512,,,t,Senior Associate,t,t,f
c176f75f-1def-324a-28d2-2117170dbaff,057a157f-5b33-65f6-a6ee-35b5df4e3bc1,2009-05-01 00:00:00 +0000,2009-06-01 00:00:00 +0000,f,Volunteer,t,f,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,b437fd2a-94be-3da5-2154-5b0a36cf6db7,2008-01-01 00:00:00 +0000,2009-03-01 00:00:00 +0000,f,Founding Board Member/Investor,t,f,f
3c975334-1ecf-e191-2cac-74bd1172296e,1e978c00-ebd0-fbb1-e498-fd248b0cd78d,2007-01-01 00:00:00 +0000,2007-06-01 00:00:00 +0000,f,Chief Technology Officer,t,t,f
3c975334-1ecf-e191-2cac-74bd1172296e,41e7f073-0a24-440b-fdd0-541360969d39,2008-08-01 00:00:00 +0000,2008-10-01 00:00:00 +0000,f,Chief Technology Officer,t,t,f
66ff47e1-06b9-8b26-a7e8-70472828c411,ae25a0c3-6ae5-ee91-3de6-a405b5932952,2004-09-01 00:00:00 +0000,2006-09-01 00:00:00 +0000,f,Director Corporate Strategy,t,t,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,70e9297e-c40a-5679-edcf-5287d6577ca2,2010-06-01 00:00:00 +0000,2012-10-01 00:00:00 +0000,f,Global Program Team Director,t,f,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,568b48b2-3f1e-4bd9-6921-b6d2e712fd20,2006-01-01 00:00:00 +0000,2011-06-01 00:00:00 +0000,f,Associate Principal,t,t,f
5ef9177e-7f02-937f-8821-5333be1a4812,568b48b2-3f1e-4bd9-6921-b6d2e712fd20,1988-08-01 00:00:00 +0000,1992-05-01 00:00:00 +0000,f,Associate Principal,t,t,f
3c975334-1ecf-e191-2cac-74bd1172296e,752d5810-f67a-74b5-8452-4aa81b337cd6,2011-03-01 00:00:00 +0000,2011-10-01 00:00:00 +0000,f,Platform Architect,t,f,f
c176f75f-1def-324a-28d2-2117170dbaff,c12d7011-6c92-78dd-2efe-2287d9bfd8ae,2014-10-01 00:00:00 +0000,,t,Cofounder,t,f,f
66ff47e1-06b9-8b26-a7e8-70472828c411,568b48b2-3f1e-4bd9-6921-b6d2e712fd20,1994-09-01 00:00:00 +0000,2002-05-18 00:00:00 +0000,f,Engagement Manager,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,f4726943-c517-07ae-1e50-71a631f12243,2013-10-01 00:00:00 +0000,,t,Advisor and Investor,f,f,t
b86322f6-e382-098e-47f5-ccc6e3aa04e1,5430184e-4f8c-fa3e-9d85-ea07c501d96c,2011-08-01 00:00:00 +0000,2012-08-31 00:00:00 +0000,f,Innovation Advisory Board,f,f,t
3c975334-1ecf-e191-2cac-74bd1172296e,879b1c26-0885-4569-ee5d-170d497c0f5d,2009-12-01 00:00:00 +0000,,t,Founder,t,t,f
66ff47e1-06b9-8b26-a7e8-70472828c411,3dbb5967-3acd-7e8d-b8df-5cbf5d49c7ee,2006-09-01 00:00:00 +0000,2013-02-28 00:00:00 +0000,f,EVP Global Research & Modelling,t,f,f
3c975334-1ecf-e191-2cac-74bd1172296e,b2d5980b-bccb-a961-f0ac-6e4e46b30ede,2010-02-01 00:00:00 +0000,2010-08-12 00:00:00 +0000,f,Team Member,t,f,f
d5c5c8a4-1570-67e9-60c3-d035cc69bbb5,799f911b-a07b-891a-5be2-5b4d74c11e65,2013-06-01 00:00:00 +0000,,t,Principal,t,t,f
ea031da8-ef49-798b-49bf-dd59d4ae799a,9757b250-3e55-d644-5073-cdd6243ccfc3,2010-04-01 00:00:00 +0000,,t,Principal,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,047e3c80-9571-5a18-f19d-59e1b78f4774,1994-08-01 00:00:00 +0000,1996-12-31 00:00:00 +0000,f,CTO/Co-Founder,t,t,f
c8db21d9-cf44-8ef9-8736-ae4e3d28896b,4b9df299-4ef2-1fad-607e-278d90eb69ab,2009-01-01 00:00:00 +0000,2015-02-01 00:00:00 +0000,f,Chief of Staff,t,f,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,0bc8b493-0a60-5d12-d86c-5472f07b0359,2014-01-01 00:00:00 +0000,,t,CBO,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,1728539d-daec-4ec6-ada9-78f6c6b2f8be,1996-01-01 00:00:00 +0000,2000-12-31 00:00:00 +0000,f,Chairman,f,f,t
b86322f6-e382-098e-47f5-ccc6e3aa04e1,0dcccd7f-a763-9212-b0de-80eb595162ea,1997-01-01 00:00:00 +0000,2002-07-31 00:00:00 +0000,f,CEO/Founder,t,t,f
bafd014d-f810-57a6-9df1-33682013ca6e,5d910027-649d-c49c-2aa0-863ddc47183f,,,f,Head of Interactive Marketing,t,f,f
e4fb7bb6-c380-6e5e-b67b-fe4b3079e27f,69d6780f-84b0-12e3-9194-b428628fbb79,2004-04-15 00:00:00 +0000,2013-12-31 00:00:00 +0000,f,CEO,t,t,f
bafd014d-f810-57a6-9df1-33682013ca6e,a2b478a0-bcfe-b079-4f3c-f4b7fc98db49,2016-04-16 00:00:00 +0000,,t,Co-Founder,t,t,f
e4fb7bb6-c380-6e5e-b67b-fe4b3079e27f,a2b478a0-bcfe-b079-4f3c-f4b7fc98db49,2016-04-16 00:00:00 +0000,,t,Founder,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,0f487ddb-1e32-c0b1-ae63-d89bc3b63369,,,t,investor and Advisor,f,t,t
7af68f89-ee56-257e-817d-cf2a9c74f8e5,e396e73c-93df-925f-53f0-0e185ad18755,2014-05-16 00:00:00 +0000,,t,Board Member,f,f,t
7af68f89-ee56-257e-817d-cf2a9c74f8e5,b87c888a-764c-0f98-bef8-0d4688d2a3b5,,,t,Board Observer,f,f,t
7af68f89-ee56-257e-817d-cf2a9c74f8e5,990e6d04-5e62-7873-d951-702581b28bea,,,t,Board Member,f,f,t
7af68f89-ee56-257e-817d-cf2a9c74f8e5,8bb27424-0f7f-3d19-5224-3cec6bf1b4c8,,,t,Board Member,f,f,t
7af68f89-ee56-257e-817d-cf2a9c74f8e5,6f5abb8a-416b-a8b2-f6b9-10c3cf75fcc5,,,t,"Principal, US",t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,41b268e3-d6a9-e6b0-de2f-77424112cb6f,,,f,Founder,t,t,f
5ef9177e-7f02-937f-8821-5333be1a4812,9cb8be03-a641-64c3-7bce-0e2b8f9d0148,,,t,DIRECTOR,t,t,f
ff75a22c-9d4f-aa23-6d0f-7f66e86a49bb,480e1c42-8700-3088-a0a1-2d785c6eaa4f,,,f,Founder,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,bd3b4ed0-9b89-8c0a-2fdc-1205b26ef4c0,2005-08-30 00:00:00 +0000,,t,Chief Product Officer,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,d3646878-c4c7-04d9-6b62-ef2aae4d6744,2005-08-30 00:00:00 +0000,2010-09-28 00:00:00 +0000,f,Co-Founder,t,t,f
7af68f89-ee56-257e-817d-cf2a9c74f8e5,0c85ec2c-f248-cb6d-4d80-c51d58a1b967,,,f,Associate,t,t,f
7af68f89-ee56-257e-817d-cf2a9c74f8e5,c21b4680-75e8-ea37-265f-e3ad6f0f145d,,,f,Strategy Consultant,t,f,f
48f99d19-0907-7e94-2dc4-d87217ca5675,b549692c-8972-35dc-df41-6a97312a6bbd,,,t,Senior Associate,t,t,f
b86322f6-e382-098e-47f5-ccc6e3aa04e1,2276bc9a-f83f-a135-fe6c-61d4b109c3b2,2005-01-02 00:00:00 +0000,2008-12-31 00:00:00 +0000,f,CEO/Founder,t,t,f
